LU00117468,Intertrust (Luxembourg) S.à r.l.,84,104250577,LU,Luxembourg
LU00117470,SOLAR WOOD FOLKENDANGE S.A.,-998,2225,LU,Folkendange
LU00117472,FAREVA,68,1800000,LU,Luxembourg
LU00117480,Inotec Rohrsystem und Bau AG,-998,71805,LU,Untereisenbach
LU00117543,Risk Transfer Re S.A.,-994,1580651,LU,Luxembourg
LU00117573,CANARIA TAXIS S.àr.l,-998,20312,LU,Aspelt
LU00117590,MMFF S.à r.l.,-995,415186,LU,Larochette
LU00117617,UniCredit International Bank (Luxembourg) S.A.,61,28928665,LU,Luxembourg
LU00117620,Solupla Châssis S.A.,-998,11898345,LU,Redange-sur-Attert
LU00117635,Pragma Consult S.A.,-997,3316963,LU,Bertrange
LU00117681,R.C.C.M. S.A.,-998,162866,LU,Luxembourg
LU00117764,EPI Orange (Netherlands) S.à r.l.,-994,176947,LU,Luxembourg
LU00117770,Hi Fi Group S.A.,-998,4,LU,Luxembourg
LU00117776,K&D S.à r.l.,-998,111492,LU,Esch-sur-Alzette
LU00117798,KPMG Audit,-998,65545633,LU,Luxembourg
LU00117842,Motor Reinsurance Company,80,29373270,LU,Luxembourg
LU00117889,CREA HAUS PROMOTIONS S.à r.l.,56,4623136,LU,Strassen
LU00117904,GISEV Admin Lux S.A.,64,1206056,LU,Luxembourg
LU00117912,CLdN RoRo S.A.,80,479999514,LU,Luxembourg
LU00117920,White Fleet IV,62,3589081,LU,Luxemburg
LU00117966,Kellogg Lux I S.à r.l.,42,42969089,LU,Luxembourg
LU00117992,Magetralux S.A.,63,29914202,LU,Huldange
LU00117995,Activa International S.A.,-998,1064077,LU,Walferdange
LU00118008,CERAGEN,-998,16451,LU,Luxembourg
LU00118032,Forgital S.A.,-998,232834643,LU,Luxembourg
LU00118038,Tubalux S.à r.l.,-998,2059063,LU,Foetz
LU00118111,NORD/LB Luxembourg S.A. Covered Bond Bank,45,98100000,LU,Luxemburg-Findel
LU00118136,Cegedel Net S.A.,-998,137432101,LU,Strassen
LU00118172,Mobimex s.à r.l.,-994,111000,LU,Rombach-Martelange
LU00118188,VICTUS SABOTIC S.àr.l.,33,2350961,LU,Esch-sur-Alzette
LU00118205,FundRock Management Company S.A.,73,27772144,LU,Hesperange
LU00118213,GT-Sat International S.à r.l.,63,4807342,LU,Helmsange (Commune de Walferdange)
LU00118244,SF (LUX) SICAV 3,-998,107507,LU,Luxembourg
LU00118270,DIAROUGH SOURCING S.A.,50,652614122,LU,Kockelscheuer
LU00118293,Beauté CARA S.à r.l.,-997,494977,LU,Luxembourg
LU00118351,Resolution Luxville S.à r.l.,-998,1634924,LU,Luxembourg
LU00118371,Quantica UCITS Funds SICAV,61,13399444,LU,Luxembourg
LU00118380,Euroclear Re,73,1030000,LU,Luxembourg
LU00118382,MERCK RE S.A.,68,41057178,LU,Luxembourg
LU00118401,L'ODAS,-998,121191,LU,Rombach
LU00118406,Dalida Sàrl,-995,184365,LU,Diekirch
